animeTitle	Jingju Mao
animeType	TV
animeNumEpisode	60
releaseDate	2015-12-28 00:00:00
endDate	
animeNumMembers	96
animeScore	
animeUsers	
animeRank	16411
animePopularity	17837
animeDescription	"Jing-Ju Cats is a series filled with comedy, magic and Kung-Fu, set in the fictional cat kingdom of Purpetua. Once known as a cat's paradise, it is now a chaotic monster-infested land where evil reigns supreme. The Dark Lord An, with his mutant monster cats, has taken over. Join the mythical Jing-Ju Cats, led by Lil' Pai, as they set out to defeat the Dark Lord and reclaim their homeland.

(Source: Amazon)"
animeRelated	['Jingju Mao Zhi Xinnian de Maoxian']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
