animeTitle	Asatte Dance
animeType	OVA
animeNumEpisode	2
releaseDate	1991-07-25 00:00:00
endDate	1991-10-21 00:00:00
animeNumMembers	1432
animeScore	5.53
animeUsers	216
animeRank	10293
animePopularity	10273
animeDescription	"Suekichi goes to university and has, as any Japanese university student, time for hobbies. Things change when he attends his great grandfather's funeral and wakes the next morning in his room with a very sexy girl besides him. His great grandfather has left him a *little* inheritance but there are some conditions. Meanwhile, sexy Aya keeps hanging around and refuses to go away. The beginning of a strange relationship which revolves around suspicions and desire. 

(Source: MU)"
animeRelated	['Asatte Dance']
animeCharacters	['Hibino, Aya', 'Terayama, Suekichi', 'Freddy', 'Shimomura, Masami', 'Terayama, Daikichi', 'Genichiro', 'Fukagawa, Miyuki', 'Mr. Tachimi', 'Ikezu, Daisuke', 'Munakata, Naruhito']
animeVoices	['Orikasa, Ai', 'Ootsuka, Houchuu']
animeStaff	[['Ochiai, Masamune', 'Director'], ['Kogure, Teruo', 'Director'], ['Yamamoto, Naoki', 'Original Creator']]
