animeTitle	U-Jin Brand
animeType	OVA
animeNumEpisode	1
releaseDate	1991-12-27 00:00:00
endDate	
animeNumMembers	1126
animeScore	5.45
animeUsers	382
animeRank	
animePopularity	10837
animeDescription	In a city where power corrupts absolutely, greed, desperation and lust drive the world's most important men into the arms of women who just can't get enough. A star songwriter lures fame-hungry vixens to his bed. An executive by day transforms into an infamous super-seducer after dark. Women swoon, men tremble, and all the rules are broken in this triad of tantalizing tales.
animeRelated	[]
animeCharacters	['Umemoto, Tomoko', 'Kazama, Tsurujiro', 'Tooyama', 'Honda, Sachiko', 'Nakadai, Tatsuro', 'Yoshizawa, Akiyo', 'Akimoto, Hitomi', 'Sakurako', 'Kubota', 'Iwata']
animeVoices	['Mitsuishi, Kotono', 'Morikawa, Toshiyuki', 'Kosugi, Juurouta', 'Orikasa, Ai', 'Matsui, Naoko']
animeStaff	"[['Sekita, Osamu', 'Director'], ['U-jin', 'Original Creator'], ['Akahori, Satoru', 'Screenplay'], [""O'Donnell, John"", 'Executive Producer']]"
