animeTitle	b'God Mazinger'
animeType	b'TV'
animeNumEpisode	23
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	491
animeRank	
animePopularity	
animeDescription	b'The story is set in modern times, but the twist to the story is that Mazinger is an ancient weapon of the gods, left on earth to battle the evil space gods who have returned to take over the universe. '
animeRelated	[b'God Mazinger', b'Great Mazinger']
animeCharacters	[b'Mu, Aila', b'God Mazinger', b'Hino, Yamato', b'Giron', b'Kaoru', b'Zorba', b'Madoma', b'Deriya', b'Dorado', b'Eldo']
animeVoices	[b'\nSakakibara, Yoshiko\nJapanese\n', b'\nSasaoka, Shigezou\nJapanese\n', b'\nTakemura, Hiroshi\nJapanese\n', b'\nIshimaru, Hiroya\nJapanese\n', b'\nTakada, Yumi\nJapanese\n', b'\nHoriuchi, Kenyuu\nJapanese\n', b'\nHara, Eriko\nJapanese\n', b'\nGouri, Daisuke\nJapanese\n', b'\nKatou, Osamu\nJapanese\n', b'\nHayami, Show\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishimori, Akira\n\nEpisode Director\n\n', b'\nIuchi, Shuji\n\nEpisode Director\n\n', b'\nHoshiyama, Hiroyuki\n\nScript\n\n', b'\nAraki, Toyohisa\n\nTheme Song Lyrics\n\n']
