animeTitle	b'Aria the Origination'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	8.51
animeUsers	26238
animeRank	
animePopularity	
animeDescription	"b'In the 24th century on the planet Aqua, three girls\xe2\x80\x94Akari Mizunashi, Alice Carroll, and Aika S. Granzchesta\xe2\x80\x94continue to work hard toward achieving their goal of becoming Prima Undines: professional tour guide gondoliers. Luckily, the girls have the guidance of the three best Prima Undines in Neo-Venezia\xe2\x80\x94Alicia Florence, Athena Glory, and Akira E. Ferrari\xe2\x80\x94who are known as the ""Water Fairies"" in honor of their skill. With their help, the young apprentices train hard and work to overcome any situations that they find themselves in.\n\nAria The Origination follows the hardships and daily lives of these three young girls, who are doing their best to improve as tour gondoliers in Neo-Venezia, a terraformed replica of Venice.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Aria', b'Aria the OVA: Arietta', b'Aria the Origination: Sono Choppiri Himitsu no Basho ni...', b'Aria the Origination Picture Drama', b'Aria the Avvenire']
animeCharacters	[b'Mizunashi, Akari', b'Carroll, Alice', b'Florence, Alicia', b'Granzchesta, Aika S.', b'Pokoteng, Aria', b'Glory, Athena', b'Ferrari, Akira E.', b'Aino, Ai', b'Maa', b'Izumo, Akatsuki']
animeVoices	[b'\nHazuki, Erino\nJapanese\n', b'\nHirohashi, Ryou\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nNishimura, Chinami\nJapanese\n', b'\nKawakami, Tomoko\nJapanese\n', b'\nMinagawa, Junko\nJapanese\n', b'\nMizuhashi, Kaori\nJapanese\n', b'\nWatanabe, Akeno\nJapanese\n', b'\nNojima, Hirofumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatou, Junichi\n\nDirector, Sound Director, Storyboard\n\n', b'\nFuseki, Kazunobu\n\nEpisode Director, Script\n\n', b'\nItou, Tatsufumi\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nUrahata, Tatsuhiko\n\nScript\n\n']
