animeTitle	b'Saikyou Robot Daiouja'
animeType	b'TV'
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	138
animeRank	
animePopularity	
animeDescription	b'This is the story of Mito Mitsukuni in mecha style. Prince of the Edon Star, Edward Mito begins a trip to the galaxy with his servant Baron Kalkus, Duke Skead and the ninja girl Shinobu. Under the false identity of Bocchan, Suke and Kaku they help the oppressed people and fight with the super robot Daioja.'
animeRelated	[]
animeCharacters	[b'Mito, Edward', b'Narrator', b'Jinnai', b'Baljang', b'Shinobu, Flora', b'Baron Karcus', b'Skad, Duke']
animeVoices	[b'\nFurukawa, Toshio\nJapanese\n', b'\nNagai, Ichiro\nJapanese\n', b'\nTaki, Masaya\nJapanese\n', b'\nTakagi, Sanae\nJapanese\n', b'\nNishimura, Tomomichi\nJapanese\n', b'\nIshimaru, Hiroya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nChiba, Kouichi\n\nSound Director\n\n', b'\nKase, Mitsuko\n\nEpisode Director\n\n', b'\nIshizaki, Susumu\n\nEpisode Director, Storyboard\n\n', b'\nWatanabe, Chuumei\n\nTheme Song Composition, Theme Song Arrangement, Music\n\n']
