animeTitle	Naruto x UT
animeType	OVA
animeNumEpisode	1
releaseDate	2011-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.4
animeUsers	22392
animeRank	
animePopularity	2622
animeDescription	"All-new animation offered throughout UNIQLO clothing stores in Japan on January 1, 2011. The DVD contains an exclusive version of Mayonaka Orchestra, by the Japanese rock band Aqua Timez. A limited number of the DVDs was offered as presents to people who bought UNIQLO's Naruto graphic T-shirts online or in their stores.

(Source: ANN, edited)"
animeRelated	['Naruto: Shippuuden']
animeCharacters	['Uzumaki, Naruto', 'Hatake, Kakashi', 'Uchiha, Sasuke', 'Haruno, Sakura', 'Uchiha, Itachi', 'Gaara', 'Pain', 'Hyuuga, Neji', 'Orochimaru', 'Tobi']
animeVoices	[]
animeStaff	[['Tsuru, Toshiyuki', 'Director'], ['Kishimoto, Masashi', 'Original Creator'], ['Aqua Timez', 'Music'], ['Matsumoto, Norio', 'Key Animation']]
