animeTitle	AOTU Shijie
animeType	ONA
animeNumEpisode	32
releaseDate	2016-06-27 00:00:00
endDate	2017-01-31 00:00:00
animeNumMembers	
animeScore	6.41
animeUsers	111
animeRank	
animePopularity	12045
animeDescription	"A god created AOTU World and established the 7 Oracles to rule it on behalf of this god. The poor and rich, enslaved and free, suffering and happiness, destruction and birth: every status is ordained by God. Mortals can only accept, but cannot resist. However, God has given his people the opportunity to change their fate through ""AOTU Contest."" The contestants use their unique ""ability"" gifted by the Contest System and inbate wisdom and courage in hopes of winning the competition and becoming the world's ruler."
animeRelated	['AOTU Shijie 2', 'AOTU Shijie 3']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
