animeTitle	Salad Juu Yuushi Tomatoman
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	6.46
animeUsers	338
animeRank	
animePopularity	11491
animeDescription	"Tomato is one of the 10 knights of the salad kindom. Young and clumsy, yet always ends up saving the day and is admired by everyone even the pretty princess peach, who he desperately falls in love with.Every episode they embark on a new journey to solve a new mission. This would be easier if only the insect band didn't get in their way every time. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Tomatoman', 'Maronmaro']
animeVoices	['Aikawa, Rikako', 'Sasaki, Nozomu']
animeStaff	[['Sasagawa, Hiroshi', 'Director, Original Creator'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Ikehata, Takashi', 'Episode Director, Storyboard'], ['Ooba, Hideaki', 'Episode Director, Storyboard']]
