animeTitle	Nezumi Monogatari: George to Gerald no Bouken
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	332
animeRank	
animePopularity	11381
animeDescription	"Nezumi Monogatari is the story of two mice called George and Gerald who embark on a journey together with three friends to find the ""Dragon of Light""."
animeRelated	[]
animeCharacters	['Marie-Lou', 'George', 'Gerald', 'Leopold', 'Hanna', 'Norma', 'Chamberlain', 'Walter', 'Alex']
animeVoices	['Kikuchi, Mika', 'Takayama, Minami', 'Hayashibara, Megumi', 'Nozawa, Masako', 'Yamaguchi, Kappei', 'Inuyama, Inuko', 'Utsumi, Kenji']
animeStaff	[['Hata, Masami', 'Director, Storyboard'], ['Mima, Masafumi', 'Sound Director'], ['Hirata, Toshio', 'Character Design'], ['Kurahashi, Shizuo', 'Sound Effects']]
