animeTitle	Suteki Tantei Labyrinth
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	1872
animeRank	
animePopularity	5517
animeDescription	"In a forgotten town known as the old capital of Tokyo, strange and mysterious crimes are progressively occuring. These supernatural occurances are beyond comprehension and bring fear and terror to the people. Only one person is not intimidated by the evil underlying these occurances and is willing to challenge them: Hyuga Mayuki, a young boy detective who holds a special insight power that allows him to uncover the real truth behind these occurances. 

(Source: ANN)"
animeRelated	['Suteki Tantei Labyrinth']
animeCharacters	['Shinano, Seiran', 'Hyuga, Mayuki', 'Mieno, Hatsumi', 'Koga, Rakuta', 'Yatomi, Yae', 'Izumi, Sanae', 'Izumi, Minori', 'Koga, Kouta', 'Byakko', 'Tomaru, Miyako']
animeVoices	['Suwabe, Junichi', 'Sawashiro, Miyuki', 'Ueda, Kana', 'Inoue, Marina', 'Satou, Satomi', 'Yuzuki, Ryouka', 'Inoue, Nana', 'Park, Romi', 'Horie, Yui', 'Ohara, Sayaka']
animeStaff	[['Watanabe, Hiroshi', 'Director, Episode Director, Storyboard, Key Animation'], ['Hata, Shouji', 'Sound Director'], ['Namura, Hidetoshi', 'Storyboard'], ['Watanabe, Masaki', 'Storyboard']]
