animeTitle	Kyou kara Maou! R
animeType	OVA
animeNumEpisode	5
releaseDate	2007-10-26 00:00:00
endDate	2008-03-28 00:00:00
animeNumMembers	
animeScore	7.44
animeUsers	9581
animeRank	
animePopularity	3858
animeDescription	"Life has returned to some form of normalcy after the end of the series, and so His Majesty Yuuri Shibuya travels to oversee how things are going. While doing so, he runs into the king of Small Shimeron--Sararegi. But it seems there may be something more to him than the friendly king he presents himself as. Yuuri go back to Shimaron to relax and meet some friends, when the ""king"" of Little Shimaron suddenly joins the group and wants the Maou to come to his country. The Original king sends a message to Yuuri's brother and his friend that Yuuri is in trouble.

(Source: ANN)"
animeRelated	['Ma Series', 'Kyou kara Maou!', 'Kyou kara Maou! 3rd Series']
animeCharacters	['von Bielefeld, Wolfram', 'Shibuya, Yuuri', 'Weller, Conrad', 'von Christ, Günter', 'von Voltaire, Gwendal', 'Murata, Ken', 'Saralegui', 'von Spitzberg, Cecilie', 'Gurrier, Josak', 'Shinou']
animeVoices	['Saiga, Mitsuki', 'Sakurai, Takahiro', 'Morikawa, Toshiyuki', 'Inoue, Kazuhiko', 'Ootsuka, Akio', 'Miyata, Kouki', 'Ishida, Akira', 'Katsuki, Masako', 'Takeda, Masanori', 'Miki, Shinichiro']
animeStaff	[['Nishimura, Junji', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['Matsumoto, Temari', 'Original Character Design'], ['Takabayashi, Tomo', 'Original Creator']]
