animeTitle	b'New Game!!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.73
animeUsers	110445
animeRank	
animePopularity	
animeDescription	"b""\xe2\x80\x8bIt has been a year since Aoba Suzukaze started working at the Eagle Jump game company. In that time, she and her eccentric coworkers in the character design department have worked hard to release the company's newest game: Fairies Story 3. With their latest title now complete, a new project must begin\xe2\x80\x94starting with a contest to decide the character designs for the upcoming game. Through hard work, dedication, and some guidance from the previous character designer, Kou Yagami, Aoba wins the contest and begins her new role as lead character designer.\n\nHowever, her new job is not an easy one. In addition to having extra work and longer hours, Aoba questions whether she is the right fit for the job. New Game!! continues as Aoba overcomes her inexperience with the help of her friends and coworkers, willing to face any challenge to make Eagle Jump's newest creation, a cutesy game called Peco.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'New Game!', b'New Game!: Watashi, Shain Ryokou tte Hajimete nano de...']
animeCharacters	[b'Suzukaze, Aoba', b'Yagami, Kou', b'Takimoto, Hifumi', b'Ahagon, Umiko', b'Sakura, Nene', b'Iijima, Yun', b'Shinoda, Hajime', b'Tooyama, Rin', b'Hazuki, Shizuku', b'Mochizuki, Momiji']
animeVoices	[b'\nTakada, Yuuki\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nYamaguchi, Megumi\nJapanese\n', b'\nMorinaga, Chitose\nJapanese\n', b'\nAsahina, Madoka\nJapanese\n', b'\nTakeo, Ayumi\nJapanese\n', b'\nToda, Megumi\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nSuzuki, Arisa\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFujiwara, Yoshiyuki\n\nDirector, Episode Director, Script\n\n', b'\nTsuchiya, Masaki\n\nSound Director\n\n', b'\nKimura, Yasuhiro\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nTakada, Yuuki\n\nTheme Song Performance\n\n']
