animeTitle	b'Akai Boushi'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.39
animeUsers	322
animeRank	
animePopularity	
animeDescription	"b""Two playing children see a hat blown away by the breeze and land at the top of a tall tree. They can only look at that bright thing perched snugly up high. Song by Japanese singer Shimonari Satoko  on NHK's Minna no Uta show."""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
