animeTitle	Submarine 707R
animeType	OVA
animeNumEpisode	2
releaseDate	2003-09-26 00:00:00
endDate	2004-04-28 00:00:00
animeNumMembers	2653
animeScore	6.26
animeUsers	1110
animeRank	7406
animePopularity	8710
animeDescription	"In order to keep ocean peace, PKN was organized. It consisted of the state-of-the-art battle ships of various countries. However, they were raided during the foundation ceremony by the unidentified organization, USR, which plotted to conquer the world. They couldn’t be much for the submarine UX which was operated by Admiral Red of USR. But an old Japanese submarine, the 707 saved them, which was operated Captain Hayami at the risk of his life.

One year later, succeeding to the 707, which had been ruined during the former fight, newly developed submarine, the 707 II, went for a sail. Among the crews, there were boys, such as Kenji, Goro, and Senta, who had been trainees. PKN formed a fleet led by the Great Guardian, which was the latest battle ship of the United States. However, the attacks of Submarine U were very server, and the fleet was defeated. Then, the 707 arrived. As soon as Red noticed the 707, he was glad to reunion with his rival and began to fight.

Escaping from the submarine attack, they hid the 707 in the valley. But Red tried to destroy the valley in order to put the 707 into the torrents of mud. The 707 nearly escaped from it and got in the crater. However it was the pure water layer where the submarine couldn’t float up. At the moment, numerous torpedoes launched to the 707.

(Source: AnimeNfo)"
animeRelated	['Submarine 707', 'Shinkai no Kantai: Submarine 707']
animeCharacters	['Hayami, Yohei', 'Silver, Red', 'Yu', 'Umino, Senta', 'Kusaka, Goro', 'Mizuhaya, Kenji']
animeVoices	['Hiura, Ben', 'Ishizuka, Unshou', 'Hisakawa, Aya', 'Sakaguchi, Daisuke', 'Ishida, Akira']
animeStaff	[['Masuo, Shouichi', 'Director, Episode Director, Storyboard, Key Animation, Layout'], ['Anno, Hideaki', 'Episode Director, Key Animation'], ['Saeki, Shouji', 'Storyboard, Key Animation, Animation Director'], ['Murao, Minoru', 'Storyboard, Character Design, Animation Director']]
