animeTitle	Bessatsu Olympia Kyklos
animeType	TV
animeNumEpisode	24
releaseDate	2020-04-20 00:00:00
endDate	2020-11-02 00:00:00
animeNumMembers	
animeScore	6.99
animeUsers	4417
animeRank	
animePopularity	4528
animeDescription	"Demetrios, a timid and kind vase painter in Ancient Greece who dislikes sports and competitions, is one day forced to come up with a game to compete with the mayor of the neighboring town in order to save his village. While hiding inside a large vase outside his workshop, lightning strikes the vase Demetrios is in, transferring him to Tokyo, Japan, during the 1964 Summer Olympics.

(Source: MU)"
animeRelated	['Olympia Kyklos']
animeCharacters	['Demetrios', 'Theophilos', 'Honeuros The Bard', 'Apollonia', 'Iwaya, Asakichi']
animeVoices	['Ono, Daisuke', 'Katagiri, Jin', 'Satou, Takashi']
animeStaff	[['Fujii, Ryou', 'Director'], ['Yamazaki, Mari', 'Original Creator']]
