animeTitle	Sore Ike! Anpanman: Rhythm de Teasobi - Anpanman to Fushigi na Parasol
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15416
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Parasol Kozou']
animeVoices	['Toda, Keiko']
animeStaff	[['Shinohara, Toshiya', 'Director'], ['Yanase, Takashi', 'Original Creator'], ['Kondou, Hiroaki', 'Music'], ['Izumi, Taku', 'Music']]
