animeTitle	DNA Hunter
animeType	OVA
animeNumEpisode	3
releaseDate	2001-09-18 00:00:00
endDate	2002-03-18 00:00:00
animeNumMembers	2297
animeScore	5.45
animeUsers	693
animeRank	
animePopularity	9067
animeDescription	"After losing her fiancee, Youji, to a mountain climbing accident, Mai is determined to have his baby. With a determination of steel, she approaches his associates in genetic research for help. However, the cost for the project requires an enormous amount of money...

To finance the project, Mai takes a very unique job - a DNA Hunter. It's their job to obtain semen samples for women who desire children by particular men - in any way necessary! (Talk about a job!) But before Mai will be accepted into this elite group, she must first undergo a test: pick a random stranger and obtain his semen.

Can she do it? Will she be able to pass the test? Can she sleep with other men and become a DNA Hunter to keep her dream of having Youji's baby...? 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Bartlet, Kathlene', 'Saeki, Masumi', 'Sakakibara, Mai', 'Fukatsu, Shiori', 'Souda, Hideaki']
animeVoices	[]
animeStaff	[]
