animeTitle	Harenchi Koumon Manyuuki
animeType	OVA
animeNumEpisode	1
releaseDate	1996-05-03 00:00:00
endDate	
animeNumMembers	
animeScore	5.26
animeUsers	317
animeRank	
animePopularity	10890
animeDescription	"Based on Nagai Gou's manga. 

The life of a young heiress is endangered by the will and ambition of Tokugawa Tsunai and his henchmen. The young woman, who calls herself Kurenai Mitanosuke, loves to dress as a samurai. She certainly should be more wary of her two obsessed bodyguards (Kaki and Suki) than of the danger that threatens her because, without her knowledge, her life is protected by a mysterious one-eyed shinobi...

(Source: AniDB) "
animeRelated	[]
animeCharacters	['Yagyuu, Mitsuko']
animeVoices	[]
animeStaff	[['Nagai, Go', 'Original Creator']]
