animeTitle	b'Aiura'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	34669
animeRank	
animePopularity	
animeDescription	"b'The story centers around Amaya, Iwasawa, and Uehara\xe2\x80\x94three ""annoying, spirited high school girls with zero motivation""\xe2\x80\x94and their classmates. Their daily life is ""what happens when there is nothing happening.""\n\n(Source: ANN)'"
animeRelated	[b'Aiura']
animeCharacters	[b'Amaya, Kanaka', b'Iwasawa, Saki', b'Uehara, Ayuko', b'Wakatsuki, Misuzu', b'Yanase, Mei', b'Amaya, Souta', b'Yamashita, Sumiko', b'Matsuno, Shuusaku']
animeVoices	[b'\nNakajima, Yui\nJapanese\n', b'\nIida, Yuuko\nJapanese\n', b'\nTamura, Nao\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nSakura, Ayane\nJapanese\n', b'\nHanamori, Yumiri\nJapanese\n', b'\nUchiyama, Yumi\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatomi, Tetsurou\n\nProducer\n\n', b'\nNakamura, Ryousuke\n\nDirector, Episode Director, Script, Storyboard, Key Animation\n\n', b'\nShimizu, Youji\n\nSound Director\n\n', b'\nTamura, Nao\n\nTheme Song Performance, Inserted Song Performance\n\n']
