animeTitle	Dotto Koni-chan
animeType	TV
animeNumEpisode	26
releaseDate	2000-11-26 00:00:00
endDate	2001-05-29 00:00:00
animeNumMembers	3367
animeScore	7.28
animeUsers	1306
animeRank	2488
animePopularity	8086
animeDescription	"Koni (whose character is based on the famous Sumo-wrestler) and his gang have lots of crazy and incoherent adventures in their town. From fighting with their ""Lovely-Teacher"" and dealing with Samurai fish, to confirming if ""The Armored-Guy's"" wife has an affair and saving the world, Koni, High, Moro, Nari and Afro, the Afro-dog, do the craziest and funniest things to have fun.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Moro', 'Koni', 'Nari', 'High', 'AfroDog']
animeVoices	['Tamura, Yukari', 'Kujira', 'Minami, Omi', 'Morikubo, Shoutarou', 'Watanabe, Shinichi']
animeStaff	[['Kubota, Mitsutoshi', 'Producer'], ['Watanabe, Shinichi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Inokawa, Shintarou', 'Episode Director, Storyboard, Assistant Director']]
