animeTitle	Xiong Chumo
animeType	TV
animeNumEpisode	104
releaseDate	2012-01-22 00:00:00
endDate	2012-01-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14581
animeDescription	"Set in an untouched forest, Boonie Bears tells a story of two brave and mighty bears who try to protect their homeland from the destruction of a sly and persistent woodman. In this war between bears and woodman, you will be given a glimpse of the wit and smarts of two lovely forest protectors. Filled with non-stop comedy, Boonie Bears will surely show bears in a whole new light, as you’ve never seen them before.

(Source: Official website)"
animeRelated	['Xiong Chumo: Huanqiu Da Maoxian', 'Xiong Chumo: Kuang Ye Dalu']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
