animeTitle	Yona Yona Penguin
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	333
animeRank	
animePopularity	11234
animeDescription	Koko is a little girl who always wears the penguin coat her deceased father gave her. She believes that she can fly like her father told her and is often teased by the other children. One night Koko follows a strange cat and finds herself in the land of the goblins. The mystical land is in danger for the old enemy is gathering his forces. Will Koko be able to save her new friends?  
animeRelated	[]
animeCharacters	['Koko']
animeVoices	['Morisako, Ei']
animeStaff	[['Rintaro', 'Director, Original Creator, Planning'], ['Konparu, Tomoko', 'Script'], ['Maruyama, Masao', 'Planning'], ['Terada, Katsuya', 'Character Design']]
