animeTitle	Kidou Tenshi Angelic Layer
animeType	TV
animeNumEpisode	26
releaseDate	2001-04-01 00:00:00
endDate	2001-09-23 00:00:00
animeNumMembers	53167
animeScore	7.26
animeUsers	25631
animeRank	2611
animePopularity	2423
animeDescription	12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation.
animeRelated	['Angelic Layer']
animeCharacters	['Suzuhara, Misaki', 'Hikaru', 'Kobayashi, Hatoko', 'Kizuki, Tamayo', 'Kobayashi, Kotarou', 'Mihara, Ichirou', 'Mihara, Ohjiro', 'Saito, Kaede', 'Jounouchi, Sai', 'Fujisaki, Madoka']
animeVoices	['Enomoto, Atsuko', 'Shiratori, Yuri', 'Yukino, Satsuki', 'Fukuyama, Jun', 'Onosaka, Masaya', 'Hoshi, Souichirou', 'Kawasumi, Ayako', 'Kuwashima, Houko', 'Kawakami, Tomoko']
animeStaff	[['Minami, Masahiko', 'Producer'], ['Nishikiori, Hiroshi', 'Director, Script, Storyboard'], ['Tsuruoka, Youta', 'Sound Director'], ['Takamatsu, Shinji', 'Episode Director, Storyboard']]
