animeTitle	Mori no Ongakudan
animeType	ONA
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14760
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Rat', 'Boar', 'Raccoon', 'Squirrel']
animeVoices	['Morimoto, Shintarou', 'Shirokuma, Hiroshi', 'Miyake, Kenta', 'Serizawa, Yuu']
animeStaff	[['Fujita, Youichi', 'Director'], ['Matsubara, Shuu', 'Script'], ['Matsuura, Takeomi', 'Music'], ['Ferreira, Christophe', 'Character Design']]
