animeTitle	Kid's Castle
animeType	Movie
animeNumEpisode	1
releaseDate	1995-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.3
animeUsers	389
animeRank	
animePopularity	11966
animeDescription	"Take a journey into the imaginative world of Kid's Caste where a young boy's dreams make playing with toys a reality. As his room takes on exciting changes, you, too, will delight at the many different whimsical sounds and voices.

(Source: Yamamura Animation)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
