animeTitle	Saimin Ryoujoku Gakuen
animeType	OVA
animeNumEpisode	3
releaseDate	2008-12-19 00:00:00
endDate	2009-06-19 00:00:00
animeNumMembers	5841
animeScore	6.51
animeUsers	1639
animeRank	
animePopularity	6582
animeDescription	"A student gets his hands on a device that allows him to modify the will of any targeted female - he can bring out the lust and any hidden feeling from their minds and use it to his advantage. He attacks many of his classmates with this new power. 

(Source: ANN)"
animeRelated	['Saimin Ryoujoku Gakuen']
animeCharacters	['Miyauchi, Yurine', 'Fujimi, Toshikazu', 'Futaba, Aoi', 'Kawai, Akiko', 'Futaba, Yuna ', 'Uehara, Miyuki', 'Arimine, Ichiru', 'Shirogane, Reika']
animeVoices	['Ookubo, Aiko', 'Kawasumi, Ipponmatsu', 'Nishizawa, Hiroka', 'Asai, Harumi', 'Ichimura, Oma', 'Haduki, Rie', 'Fujimori, Yukina', 'Misonoo, Mei']
animeStaff	[['Watanabe, Jun', 'Sound Director'], ['Liquid', 'Original Creator'], ['Hifumi', 'Art Director']]
