animeTitle	Yamato Takeru: After War
animeType	OVA
animeNumEpisode	2
releaseDate	1995-11-22 00:00:00
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	165
animeRank	
animePopularity	12382
animeDescription	"Three years have passed after the decisive battle at the end of Yamato Takeru  and peace has return to the land. Takeru, Oto and their friends return to the village and continue living their days in bliss until one night Shuranoo, piloted by Mikazuchi, marks a return and appears in the village to wreak havoc. Takeru is left without any choice and is forced to reactivate the sealed Susanoo from his slumber. However, this is just the beginning of a new threat, and Takeru has to overcome himself if he wants to rescue Oto from the impending danger.

(Source: AniDB)"
animeRelated	['Yamato Takeru']
animeCharacters	['Tachibana, Oto', 'Takeru, Yamato', 'Mikazuchi', 'Roka']
animeVoices	['Kanai, Mika', 'Morikawa, Toshiyuki', 'Ogata, Megumi']
animeStaff	[['Iuchi, Shuji', 'Director, Script, Series Composition'], ['Ishihara, Tatsuya', 'Episode Director, Storyboard'], ['Ohata, Koichi', 'Mechanical Design'], ['Kishida, Takahiro', 'Animation Director, Character Design']]
