animeTitle	Nyanpire The Animation
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.67
animeUsers	12887
animeRank	
animePopularity	3547
animeDescription	"A heartwarming story about a stray black cat, who was given blood from a vampire. He was taken in by a girl called Misaki and started to live with her. Nyanpire's favorite phrase is ""Give me blood nya."""
animeRelated	[]
animeCharacters	['Nyanpire', 'Nyatenshi', 'Dokuganryu, Masamunya', 'Chachamaru', 'Katsuo', 'Vampire', 'Misaki', 'Mouri', 'Komori']
animeVoices	['Koshimizu, Ami', 'Fukuyama, Jun', 'Sugiyama, Noriaki', 'Gotou, Yuuko', 'Hirota, Shion', 'Tachibana, Shinnosuke', 'Maeda, Nozomi']
animeStaff	[['Yoshimatsu, Takahiro', 'Director, Character Design'], ['Hyadain', 'Theme Song Lyrics, Theme Song Performance, Theme Song Composition, Theme Song Arrangement'], ['Aso, Natsuko', 'Theme Song Performance']]
