animeTitle	Sore Ike! Anpanman: Kuruyuki-hime to Mote Mote Baikinman
animeType	Movie
animeNumEpisode	1
releaseDate	2005-07-16 00:00:00
endDate	
animeNumMembers	251
animeScore	
animeUsers	
animeRank	13486
animePopularity	15224
animeDescription	"Baikinman is snatched by a black cloud inhabited by a princess who loves black, Kuroyukihime. She is immediately thrilled with him and starts making trouble with him, turning everything black. However, both Dokin-chan and Anpanman are determined to stop her.

(Source: ANN)"
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Dokin-chan', 'Oji-san, Jam', 'Kuruyuki-hime', 'Batako-san', 'Horrorman', 'Shokupanman']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Aika, Mire', 'Sakuma, Rei', 'Kimotsuki, Kaneta', 'Shimamoto, Sumi']
animeStaff	[['Yanase, Takashi', 'Original Creator'], ['Sagawa, Senri', 'Art Director'], ['Kondou, Hiroaki', 'Music'], ['Izumi, Taku', 'Music']]
