animeTitle	Nikoniko, Pun
animeType	TV
animeNumEpisode	40
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16157
animeDescription	"Anime spin-off from a children's show that featured out-of-work actors dressed up as a giant mouse, penguin, and lion, itself part of the Japanese ""Watch with Mother"" TV strip for the preschool audience.

(Source: The Anime Encyclopedia)"
animeRelated	['Umi Da! Funade Da! Nikoniko, Pun']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
