animeTitle	Shuffle!
animeType	TV
animeNumEpisode	24
releaseDate	2005-07-08 00:00:00
endDate	2006-01-06 00:00:00
animeNumMembers	255468
animeScore	7.06
animeUsers	121527
animeRank	3546
animePopularity	689
animeDescription	In present times, Gods and Demons coexist together with Humans after the door between each of these worlds had opened. Tsuchimi Rin is a normal young high school student attending Verbena Academy, spending his days living peacefully with his childhood friend Kaede. Unexpectedly, one day the King of Gods, the King of Demons and their families move into be Rin's next door neighbors. Apparently the daughter of the Gods, Sia, and the daughter of the demons, Nerine, are both deeply in love with Rin after having met him in the past. Along with his playful friendship with upperclassmen Asa and his encounter with the silent but cute Primula, Rin has much on his hands dealing with the affections of each of these girls. Based on the eroge by Navel.
animeRelated	['Shuffle!', 'Shuffle! Memories', 'Shuffle! Prologue']
animeCharacters	['Shigure, Asa', 'Fuyou, Kaede', 'Primula', 'Eustoma, Lisianthus', 'Nerine', 'Tsuchimi, Rin', 'Thyme, Mayumi', 'Kareha', 'Shigure, Ama', 'Eustoma']
animeVoices	['Itou, Miki', 'Gotou, Yuuko', 'Hitomi', 'Aoki, Sayaka', 'Nagami, Haruka', 'Sugita, Tomokazu', 'Inoue, Miki', 'Hinata, Yura', 'Yuria', 'Kosugi, Juurouta']
animeStaff	[['Hosoda, Naoto', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Aoki, Ei', 'Episode Director, Storyboard'], ['Oota, Masahiko', 'Episode Director, Storyboard']]
