animeTitle	b'Masamune-kun no Revenge OVA'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	43438
animeRank	
animePopularity	
animeDescription	b'Bundled with the limited edition 10th volume of the Masamune-kun no Revenge manga.'
animeRelated	[b'Masamune-kun no Revenge']
animeCharacters	[b'Adagaki, Aki', b'Makabe, Masamune', b'Koiwai, Yoshino', b'Fujinomiya, Neko']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTiv\n\nOriginal Character Design\n\n', b'\nTakeoka, Hazuki\n\nOriginal Creator\n\n', b'\nHirama, Natsumi\n\nColor Design\n\n', b'\nSatou, Kaori\n\nCharacter Design\n\n']
