animeTitle	Birth
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.98
animeUsers	1875
animeRank	
animePopularity	6755
animeDescription	"Aqualoid was a prosperous planet, but an attack from a mysterious life force, the Inorganics, transforms it into a post-apocalyptic shell of its former self. When Nam finds a mysterious sword, he is suddenly the object of a planet-wide chase. With the Inorganics closing in, will Nam and his friends discover the secret of the sword and save their world? Or will they destroy Aqualoid in favor of a new Birth?

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Rasa', 'Monga', 'Nam', 'Kim', 'Luzen, Bao', 'Arlia']
animeVoices	['Tominaga, Miina', 'Shiraishi, Fuyumi', 'Yao, Kazuki', 'Shiozawa, Kaneto', 'Nagai, Ichiro', 'Toda, Keiko']
animeStaff	[['Sadamitsu, Shinya', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Takegami, Junki', 'Script'], ['Anno, Hideaki', 'Key Animation']]
