animeTitle	Mokke
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.08
animeUsers	2394
animeRank	
animePopularity	4683
animeDescription	"This is a story about two sisters: Shizuru, is a high school student who is able to see ghosts while her younger sister, Mizuki, is haunted by these apparitions. Frustrated by their abilities, their parents decided to entrust the sisters into the care of their grandparents who live in the countryside. As they adapt to life in the countryside, Shizuru and Mizuki begin to learn about the importance of coexisting nature with these apparitions.

(Source: ANN)"
animeRelated	['Mokke', 'Mokke Specials']
animeCharacters	['Hibara, Mizuki', 'Hibara, Shizuru', 'Hibara, Chitose', 'Ojii-chan', 'Takanashi', 'Nagasawa, Reiko', 'Hisako', 'Takatsu', 'Kamaitachi no Kobun', 'Matsunaga, Fumi']
animeVoices	['Mizuki, Nana', 'Kawasumi, Ayako', 'Mitsuishi, Kotono', 'Hori, Katsunosuke', 'Nakamura, Yuuichi', 'Hirano, Aya', 'Hashimoto, Mai', 'Kugimiya, Rie', 'Yonaga, Tsubasa', 'Ogasawara, Arisa']
animeStaff	[['Nishita, Masayoshi', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Noshitani, Mitsutaka', 'Episode Director'], ['Yoshimura, Fumihiro', 'Episode Director']]
