animeTitle	b'Poyopoyo Kansatsu Nikki'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	7.66
animeUsers	7761
animeRank	
animePopularity	
animeDescription	b'Moe Sato is a young lady who finds a cat and starts taking care of him. Named Poyo due to his round shape, he quickly becomes a dear member of the Sato family. \n\n(Source: ANN) '
animeRelated	[b'Poyopoyo Kansatsu Nikki']
animeCharacters	[b'Poyo', b'Satou, Shigeru', b'Satou, Moe', b'Satou, Hide', b'Kurobe', b'The Old Lady Next Door', b'Daifuku', b'Tsukudani', b'Suzuki, Kouta', b'Yamashita, Maki']
animeVoices	[b'\nOotani, Ikue\nJapanese\n', b'\nKamiya, Akira\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nIchinose, Hidekazu\nJapanese\n', b'\nMiyake, Marie\nJapanese\n', b'\nChiba, Fumika\nJapanese\n', b'\nMuro, Genki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDaichi, Akitarou\n\nDirector\n\n', b'\nTatsuki, Ruu\n\nOriginal Creator\n\n']
