animeTitle	Scarlet Nexus
animeType	TV
animeNumEpisode	26
releaseDate	2021-07-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.71
animeUsers	12054
animeRank	
animePopularity	2164
animeDescription	"Solar calendar year 2020: grotesque organisms called Others have begun eating people. To take down this new enemy, the Other Suppression Force is formed. Saved by this elite team as a child, psychokinetic Yuito withstands the training to enlist. On the other hand, prodigy Kasane was scouted for her abilities. But Kasane's dreams tell her strange things, dragging the two into an unavoidable fate. 

(Source: Official Site)"
animeRelated	[]
animeCharacters	['Randall, Kasane', 'Sumeragi, Yuito', 'Spring, Arashi', 'Ichijou, Hanabi', 'Nazar, Tsugumi', 'Eden, Kyouka', 'Karman, Nagi', 'Travers, Luka', 'Randall, Naomi', 'Narukami, Seto']
animeVoices	['Seto, Asami', 'Enoki, Junya', 'Horie, Yui', 'Mineuchi, Tomomi', 'Kouno, Marika', 'Hara, Yumi', 'Uchida, Yuuma', 'Akasaki, Chinatsu', 'Nishi, Asuka', 'Takahashi, Hiroki']
animeStaff	[['Nishimura, Hiroyuki', 'Director, Character Design'], ['Tateishi, Yayoi', 'Sound Director'], ['Nemoto, Toshizou', 'Script, Series Composition'], ['Katou, Youichi', 'Script, Series Composition']]
