animeTitle	b'Bakegyamon'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.66
animeUsers	651
animeRank	
animePopularity	
animeDescription	"b""Sanshirou's chances of having an adventure are slim to none in his tiny island hometown, until the day a mysterious stranger invites him to play a game... Without warning, Sanshirou is taken to a backwards universe to play Bak\xc3\xa9Gyamon\xe2\x80\x94a game pitting monsters against monsters. Along the way he meets other players who have a particular reason for being there\xe2\x80\x94to obtain the wish that is granted to the winner. But how far can Sanshirou get when the monsters he's been paired with are a bunch of little mud balls?!\n\n(Source: VIZ Media)"""
animeRelated	[b'Bakegyamon']
animeCharacters	[b'Saegusa, Toshio', b'Tamon, Sanshiro', b'Sugai, Masato', b'Fue', b'Kimidori', b'Kawaguchi, Mikiharu', b'Satomura, Shu', b'Oki, Sayaka', b'Hino, Aki']
animeVoices	[b'\nSaiga, Mitsuki\nJapanese\n', b'\nKobayashi, Yumiko\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nGouda, Hozumi\nJapanese\n', b'\nFukuhara, Kaori\nJapanese\n', b'\nKatou, Nanae\nJapanese\n', b'\nYasumura, Makoto\nJapanese\n', b'\nSakuragi, Amisa\nJapanese\n', b'\nYukana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNegishi, Hiroshi\n\nDirector\n\n', b'\nSaiga, Mitsuki\n\nTheme Song Performance\n\n', b'\nFukuhara, Kaori\n\nTheme Song Performance\n\n', b'\nChafurin\n\nTheme Song Performance\n\n']
