animeTitle	Sousei no Aquarion Evol
animeType	Special
animeNumEpisode	1
releaseDate	2015-07-02 00:00:00
endDate	
animeNumMembers	6109
animeScore	6.75
animeUsers	2685
animeRank	4853
animePopularity	6460
animeDescription	"Sousei no Aquarion Evol is set in the spring of 1966. Shin Tsukishima, who is travelling to get a crystal radio, meets Yuno Kawazu, a girl crying on a beach in Izu. Shin and Yuno are guided by the Book of Genesis and meet each other halfway. The boundaries between three worlds begin to distort.

(Source: ANN)

Original episode that will be screened at Project Aquarion's 10th Anniversary event scheduled to be held on June 28, 2015."
animeRelated	['Sousei no Aquarion', 'Aquarion Evol', 'Aquarion Logos']
animeCharacters	['Tsukishima, Shin', 'Kawazu, Yuno', 'Suzushiro, Mikono', 'Apollo', 'Wong, Zessica', 'Demuri, Kagura', 'Sora, Amata', 'de Alisia, Silvia', 'Hole, Andy W.', 'Fudou, Gen']
animeVoices	['Fukushima, Jun', 'Ogura, Yui', 'Kayano, Ai', 'Terashima, Takuma', 'Hanazawa, Kana', 'Uchiyama, Kouki', 'Kaji, Yuki', 'Kakazu, Yumi', 'Toriumi, Kousuke', 'Ishizuka, Unshou']
animeStaff	[['Yasuda, Kenji', 'Director'], ['Mochizuki, Mariko', 'Script'], ['Kawamori, Shouji', 'Original Creator'], ['AKINO', 'Inserted Song Performance']]
