animeTitle	Kengan Ashura 2nd Season
animeType	ONA
animeNumEpisode	12
releaseDate	2019-10-31 00:00:00
endDate	
animeNumMembers	65773
animeScore	7.69
animeUsers	40832
animeRank	1096
animePopularity	2161
animeDescription	Second half of Kengan Ashura.
animeRelated	['Kengan Ashura']
animeCharacters	['Tokita, Ouma', 'Yamashita, Kazuo', 'Kure, Karla', 'Wongsawat, Gaolang', 'Imai, Cosmo', 'Sekibayashi, Jun', 'Kanou, Agito', 'Hanafusa, Hajime', 'Kure, Raian', 'Gensai, Kuroki']
animeVoices	['Suzuki, Tatsuhisa', 'Cho', 'Kurosawa, Tomoyo', 'Tsuda, Kenjirou', 'Enoki, Junya', 'Inada, Tetsu', 'Ootsuka, Akio', 'Ishida, Akira', 'Matsuoka, Yoshitsugu', 'Genda, Tesshou']
animeStaff	[['Kishi, Seiji', 'Director'], ['Majima, Takahiro', 'Episode Director']]
