animeTitle	b'Tonari no Seki-kun Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.46
animeUsers	16286
animeRank	
animePopularity	
animeDescription	b'Two unaired episodes included in the DVD Set release of Tonari no Seki-kun series.\n\n#1. Field Trip (Rinkan Gakkou) (first volume)\n#2. Snow Playing (Yuki Asobi) (second volume)'
animeRelated	[b'Tonari no Seki-kun']
animeCharacters	"[b'Seki, Toshinari', b'Yokoi, Rumi', b'Uzawa, Akiyasu', b'Narrator', b""Uzawa's Friend"", b'Nakama, Yuu', b'Hashino, Tomoka']"
animeVoices	[b'\nShimono, Hiro\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nShiraishi, Minoru\nJapanese\n', b'\nSakaguchi, Tetsuo\nJapanese\n', b'\nShitara, Mami\nJapanese\n', b'\nKikuchi, Kokoro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMutou, Yuuji\n\nDirector\n\n', b'\nMorishige, Takuma\n\nOriginal Creator\n\n']
