animeTitle	Detective Conan OVA 03: Conan and Heiji and the Vanished Boy
animeType	OVA
animeNumEpisode	1
releaseDate	2003-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.19
animeUsers	7188
animeRank	
animePopularity	4648
animeDescription	"Conan and Ran are visiting Heiji and Kazuha in Osaka when the four come across a trio of kids while touring the city. These children, who look eerily similar to the Detective Boys but with different personalities, are looking for their friend who has gone missing—and the two young detectives agree to help find the vanished boy.

[Written by MAL Rewrite]"
animeRelated	['Detective Conan']
animeCharacters	['Edogawa, Conan', 'Hattori, Heiji', 'Oosawa, Kenta', 'Esaka, Mayumi', 'Yagi, Mikihiko', 'Mouri, Ran', 'Tooyama, Kazuha', 'Yoshida, Ayumi', 'Tsuburaya, Mitsuhiko', 'Kojima, Genta']
animeVoices	['Takayama, Minami', 'Horikawa, Ryo', 'Takagi, Wataru', 'Iwai, Yukiko', 'Ootani, Ikue', 'Yamazaki, Wakana', 'Miyamura, Yuko']
animeStaff	[['Yamamoto, Yasuichiro', 'Director, Storyboard'], ['Urakami, Yasuo', 'Sound Director'], ['Asami, Matsuo', 'Episode Director'], ['Sakai, Izumi', 'Theme Song Performance']]
