animeTitle	Dream Hunter Rem
animeType	OVA
animeNumEpisode	4
releaseDate	1985-12-15 00:00:00
endDate	1987-02-25 00:00:00
animeNumMembers	5731
animeScore	6.11
animeUsers	1398
animeRank	8126
animePopularity	6633
animeDescription	Rem is an ordinary woman in our world but, in the world of dreams, she becomes a dream warrior, defending humanity from the evils there. When dream demons reach the waking world, she fights them with the help of her pets which transform into a tiger and wolf.
animeRelated	['New Dream Hunter Rem: Yume no Kishitachi']
animeCharacters	['Ayanokouji, Rem', 'Saeko, Asuka', 'Sakaki, Inspector', 'Beta', 'Alpha', 'Kido, Umimaru']
animeVoices	['Matsui, Naoko', 'Katsuki, Masako', 'Utsumi, Kenji', 'Tatsuta, Naoki', 'Gotou, Masumi', 'Ikeda, Shuuichi']
animeStaff	[['Okiura, Hiroyuki', 'Key Animation'], ['Oobari, Masami', 'Key Animation'], ['Inoue, Toshiyuki', 'Key Animation'], ['Kitakubo, Hiroyuki', 'Key Animation']]
