animeTitle	Osananajimi ga Zettai ni Makenai Love Comedy
animeType	TV
animeNumEpisode	12
releaseDate	2021-04-14 00:00:00
endDate	2021-06-30 00:00:00
animeNumMembers	194000
animeScore	6.11
animeUsers	72056
animeRank	8094
animePopularity	938
animeDescription	"Suehara Maru is childhood best friends with one of Hozumino High School's most popular girls, Kuroha Shida. Cute, outgoing, and affectionate, Kuroha is the perfect older sister type. She has boys constantly begging at her feet to be with her. Yet, when she confesses to Suehara one day, he immediately rejects her; he just can't think of her in that way! Besides, he already has his sights set on his first love—school idol and renowned author Shirokusa Kachi.

Suehara believes that he has a chance with Kachi after one fateful meeting, but soon, he finds out that Kachi has a boyfriend! With his dreams now shattered, Suehara agonizes over what could have been. That is, until Kuroha approaches him with a proposal: ""let's get revenge.""

[Written by MAL Rewrite]"
animeRelated	['Osananajimi ga Zettai ni Makenai Love Comedy']
animeCharacters	['Shida, Kuroha', 'Kachi, Shirokusa', 'Maru, Sueharu', 'Momosaka, Maria', 'Asagi, Rena', 'Kai, Tetsuhiko', 'Ooragi, Shion', 'Shida, Aoi', 'Abe, Mitsuru', 'Shida, Midori']
animeVoices	['Minase, Inori', 'Sakura, Ayane', 'Matsuoka, Yoshitsugu', 'Oonishi, Saori', 'Takayanagi, Tomoyo', 'Shimazaki, Nobunaga', 'Hondo, Kaede', 'Shimabukuro, Miyuri', 'Terashima, Takuma', 'Fujita, Akane']
animeStaff	[['Naoya, Takashi', 'Director, Character Design'], ['Motoyama, Satoshi', 'Sound Director'], ['Hisao, Ayumu', 'Script'], ['Tomita, Yoriko', 'Script, Series Composition']]
