animeTitle	Psychic Force
animeType	OVA
animeNumEpisode	2
releaseDate	1998-05-25 00:00:00
endDate	
animeNumMembers	1977
animeScore	5.39
animeUsers	804
animeRank	10683
animePopularity	9469
animeDescription	"There are two kinds of people in the world, normal and psychics. Psychics are rare, powerful and feared. Burn Griffith met and befriended one of them, Keith Evans, two years ago. Now he has been looking for his friend, but when he finally succeeds, something's not right. The world has changed, and so has Keith.

(Source: ANN)"
animeRelated	['Psychic Force Comic Anthology']
animeCharacters	['Evans, Keith', 'Griffith, James', 'Michaelov, Emilio', 'Wong Chan, Richard', 'Ryan, Wendy', 'Ryan, Chris']
animeVoices	['Tsukui, Kyousei', 'Seki, Tomokazu', 'Takayama, Minami', 'Madono, Mitsuaki', 'Hikami, Kyouko', 'Shiraishi, Ayako']
animeStaff	[['Oonuki, Kenichi', 'Director, Character Design'], ['Seki, Tomokazu', 'Theme Song Performance'], ['Tsukui, Kyousei', 'Theme Song Performance'], ['Kidani, Takaaki', 'Executive Producer']]
