animeTitle	b'Natsume Yuujinchou Roku Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	8.4
animeUsers	15806
animeRank	
animePopularity	
animeDescription	b'New unaired episodes included in 4th and 5th DVD volumes of Natsume Yuujinchou Roku.'
animeRelated	[b'Natsume Yuujinchou Roku']
animeCharacters	[b'Natsume, Takashi', b'Madara', b'Tanuma, Kaname', b'Hinoe', b'Fujiwara, Touko', b'Misuzu', b'Nishimura, Satoru', b'Ushikao no Chuukyuu Youkai', b'Fujiwara, Shigeru', b'Hitotsume no Chuukyuu Youkai']
animeVoices	[b'\nKamiya, Hiroshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYasuda, Rei\n\nTheme Song Performance, Theme Song Lyrics\n\n', b'\nSako, Tomohisa\n\nTheme Song Performance, Theme Song Lyrics, Theme Song Composition\n\n']
