animeTitle	Rinne no Lagrange Season 2
animeType	TV
animeNumEpisode	12
releaseDate	2012-07-08 00:00:00
endDate	2012-09-23 00:00:00
animeNumMembers	26526
animeScore	6.97
animeUsers	11451
animeRank	3886
animePopularity	3499
animeDescription	"Several months have passed since Lan and Muginami left Earth. Now in her final year of high school, Madoka spends most of her days thinking about her friends, when Lan suddenly returns to Kamogawa City.

(Source: VIZ Media)"
animeRelated	['Rinne no Lagrange', 'Rinne no Lagrange: Kamogawa Days', 'Rinne no Lagrange Season 2 Specials']
animeCharacters	['Kyouno, Madoka', 'Fin E Ld Si, Laffinty', 'Muginami', 'Danon Ci, Array', 'De Metrio Lu, Yurikano', 'Rakus Lestrine Ha, Kirius', 'Tadokoro, Shouzou', 'Fin E Ld Si, Dizelmine', 'Nakaizumi, Youko', 'Lizamarie de Rochefort, Astelia']
animeVoices	['Ishihara, Kaori', 'Seto, Asami', 'Kayano, Ai', 'Matsuoka, Yoshitsugu', 'Ise, Mariya', 'Nojima, Kenji', 'Yasumura, Makoto', 'Ono, Daisuke', 'Noto, Mamiko', 'Kanemoto, Hisako']
animeStaff	[['Hirasawa, Nao', 'Producer'], ['Satou, Tatsuo', 'Director'], ['Suzuki, Toshimasa', 'Director, Episode Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director']]
