animeTitle	Kuchao
animeType	Movie
animeNumEpisode	1
releaseDate	2010-01-01 00:00:00
endDate	
animeNumMembers	904
animeScore	4.94
animeUsers	548
animeRank	11532
animePopularity	11398
animeDescription	"The primary schoolboy ""Kuchao"" is hated person in his class. Even if everyone fly balloons, only he doesn't part with his it. When he immediately begins to chew a bubble gum, he enter the imagination world after school. When his balloon becomes the face and begins to chew a bubble gum, it changes into various things. His imagination makes rapid progress more. Then, the bird approaches while flying and...

(Source: Official website)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
