animeTitle	b'Tayo-ui Jangnangam Adventure'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""When Bella finds out that all the toys were not forgotten and was touched by Ace and Duri's friendship, she decides to help other toys to find their friends(owners) back. But, it seems that Louie isn't the lucky one to find his old friend, Kevin. Tayo and Lani decide to help Louie to find Kevin but there are adventures that they never thought of!\n\n(Source: Official YouTube channel)"""
animeRelated	[b'Kkoma Bus Tayo 5']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
