animeTitle	Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11846
animeDescription	"Long time ago, there was peace until the giants decide to wake up after years and years of slumber.The three priestesses sisters who were guarding their shrine had to retreat to seek help and who better to ask Maze for help. 

(Source: Maze Of The Haze)"
animeRelated	['Maze☆Bakunetsu Jikuu (TV)']
animeCharacters	['Maze', 'Varna, Mill', 'Schfoltzer, Solude', 'Sarris, Rapier', 'Dolnard, Woll', 'Reighe, Asterote']
animeVoices	['Seki, Tomokazu', 'Tange, Sakura', 'Orikasa, Ai', 'Kobayashi, Yuko', 'Satou, Masaharu', 'Ishizuka, Unshou']
animeStaff	[['Mima, Masafumi', 'Sound Director'], ['Yamanaka, Norimasa', 'Theme Song Arrangement, Theme Song Composition, Music'], ['Aono, Atsushi', 'Chief Animation Director'], ['Suganuma, Eiji', 'Character Design, Original Character Design']]
