animeTitle	Quiz Tokiko-san
animeType	TV
animeNumEpisode	40
releaseDate	2017-06-17 00:00:00
endDate	2018-03-31 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14548
animeDescription	Tokiko-san got the job of making quizzes/brain-teasers/riddles for Chuukyou Television Broadcasting (a real TV station that airs the anime the fictional character works for). In particular: matchstick puzzles. The show focuses on her trying to make puzzles as well as her early life, family, personality that lead to her profession—particularly her compulsiveness for organization.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
