animeTitle	Natural: Another
animeType	OVA
animeNumEpisode	2
releaseDate	2000-02-25 00:00:00
endDate	2000-06-25 00:00:00
animeNumMembers	
animeScore	5.99
animeUsers	668
animeRank	
animePopularity	9481
animeDescription	"The story is about a young girl who falls in love with her teacher who was formally her sister's boyfriend. Although tension builds as he falls for another another female teacher and rumors of him and the student. 

(Source: ANN)"
animeRelated	['Natural: Another Story', 'Natural', 'Natural 2: Duo']
animeCharacters	['Misawa, Chitose', 'Shimotsuki, Haruhiko', 'Tagami, Itsuki', 'Izumi, Yua', 'Kawada, Hotori', 'Akagi']
animeVoices	[]
animeStaff	[['Kageyama, Shigenori', 'Script, Screenplay'], ['Awai, Shigeki', 'Animation Director'], ['Fairytale', 'Original Creator'], ['Shura, Tooru', 'Music']]
