animeTitle	Ikinuke! Bakusou! Kusohamu-chan!
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2021-03-17 00:00:00
endDate	
animeNumMembers	89
animeScore	
animeUsers	
animeRank	16286
animePopularity	17910
animeDescription	"The anime's release celebrates the character's ""birthday"" as a stamp character for the LINE messaging service. The character is a hamster that came from space.

(Source: ANN)"
animeRelated	['Ikinuke! Bakusou! Kusohamu-chan! Episode 0']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
