animeTitle	b'Bakuman. 2nd Season'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	8.37
animeUsers	186619
animeRank	
animePopularity	
animeDescription	"b'With the serialization of their new manga, ""Detective Trap,"" the writer-artist team, Akito Takagi and Moritaka Mashiro, better known by their pseudonym Muto Ashirogi, are one step closer to becoming world-renowned mangaka. For Mashiro, however, serialization is just the first step. Having promised to marry his childhood sweetheart and aspiring voice actress, Azuki Miho, once his manga gets an anime adaptation, Mashiro must continue his to popularize Ashirogi\'s work. A tremendously competitive cast of ambitious mangaka\xe2\x80\x94including the wild genius, Eiji Niizuma; the elegant student, Yuriko Aoki, and her older admirer and partner, Takurou Nakai; the lazy prodigy, Kazuya Hiramaru; and the abrasive artist, Shinta Fukuda\xe2\x80\x94both support and compete against Muto Ashirogi in creating the next big hit.\n\nAs they adjust to their young and seemingly untested new editor, the dynamic duo struggle to maintain their current serialization, secure the top stop in Shounen Jack, and ultimately, achieve an anime adaptation of their manga. With new rivals and friends, Bakuman. 2nd Season continues Takagi and Mashiro\'s inspiring story of hard work and young love.\n\n[Written by MAL Rewrite] '"
animeRelated	[b'Bakuman.', b'Bakuman. 3rd Season', b'Bakuman.: Deraman.', b'Bakuman. 2nd Season Special']
animeCharacters	[b'Mashiro, Moritaka', b'Takagi, Akito', b'Niizuma, Eiji', b'Hiramaru, Kazuya', b'Azuki, Miho', b'Fukuda, Shinta', b'Hattori, Akira', b'Miyoshi, Kaya', b'Yoshida, Kouji', b'Aoki, Yuriko']
animeVoices	[b'\nAbe, Atsushi\nJapanese\n', b'\nHino, Satoshi\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nMorita, Masakazu\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nTone, Kentarou\nJapanese\n', b'\nYahagi, Sayuri\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKasai, Kenichi\n\nDirector, Storyboard\n\n', b'\nAkitaya, Noriaki\n\nDirector, Episode Director, Storyboard\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nHashimoto, Hiroyuki\n\nEpisode Director, Storyboard\n\n']
