animeTitle	Shaonian Ge Xing
animeType	ONA
animeNumEpisode	26
releaseDate	2018-12-26 00:00:00
endDate	2019-06-05 00:00:00
animeNumMembers	1322
animeScore	6.98
animeUsers	302
animeRank	3873
animePopularity	10494
animeDescription	Wangyou, Master of Hanshui Temple died mysteriously and when the news about a golden coffin spreads throughout the world, it triggered disputes between the World of Martial arts. Join a group of youths, Lei Wujie, Xiao Se, Tang Lian, Sikong Qianluo, Heavenly Maiden Rui in their adventure as the mystery of the golden coffin unravels.
animeRelated	['Shaonian Ge Xing: Feng Hua Xue Yue Pian']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
