animeTitle	Shining Star
animeType	TV
animeNumEpisode	52
releaseDate	2017-10-16 00:00:00
endDate	2018-12-03 00:00:00
animeNumMembers	491
animeScore	6.71
animeUsers	106
animeRank	5034
animePopularity	13063
animeDescription	"At the prestigious Shining Star School, every girl dreams of becoming the best idol, called ""Muse"". Nara, an ordinary girl, decides to attend the school in order to fulfill her dream.

(Source: Shining Star Wiki)"
animeRelated	['Shining Star: Saeroun Luna-Queen-ui Tansaeng!']
animeCharacters	['Yoon, See-A', 'Yang, Song-I', 'Chae, Nara', 'Vanilla', 'Casey', 'Jay']
animeVoices	[]
animeStaff	[]
