animeTitle	Ikkyuu Nyuukon
animeType	OVA
animeNumEpisode	4
releaseDate	2017-10-20 00:00:00
endDate	2018-06-22 00:00:00
animeNumMembers	9024
animeScore	6.88
animeUsers	3219
animeRank	
animePopularity	5548
animeDescription	"Schoolboy Takahashi has a crush on Kaori Asakura who is in the school volleyball club. Takahashi's friend Satou, also a member of the volleyball club, agrees to introduce him to Kaori. Takahashi gets a message telling him to come to the club room. Entering the club room with great expectations, Takahashi is met by a brassiere that comes falling from above. He examines it it in his hands, and a member of the volleyball club takes a picture. He's been framed as a panties thief!

(Source: Hanime)"
animeRelated	['Ikkyu Nyuukon']
animeCharacters	['Harukawa, Megumi', 'Asakura, Kaori', 'Satou, Nao', 'Hoshino, Saki', 'Ozawa, Misa']
animeVoices	[]
animeStaff	[['Goban', 'Original Creator'], ['Kasumi, Kyouka', 'Director of Photography'], ['Hirayama, Shinobu', 'Color Design']]
