animeTitle	Watashi no Kamifuusen
animeType	Music
animeNumEpisode	1
releaseDate	1971-02-03 00:00:00
endDate	
animeNumMembers	110
animeScore	
animeUsers	
animeRank	14163
animePopularity	17635
animeDescription	The original rendition of Watashi no Kamifuusen sung by Akai Tori and animated by Mouri Atsushi. Due to the copyright law of the time, price of film reels, and overwriting tapes, Watashi no Kamifuusen from 1971 remains to be one that is missing both its audio tape and video tape, as such the music video as a whole is considered lost media.
animeRelated	['Watashi no Kamifuusen (1983)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
