animeTitle	Backkom Mission Impossible
animeType	ONA
animeNumEpisode	2
releaseDate	2008-01-01 00:00:00
endDate	
animeNumMembers	359
animeScore	5.75
animeUsers	144
animeRank	9559
animePopularity	13947
animeDescription	A pastiche to Mission Impossible featuring Super Backkom trying to turn on a television which showed the Backkom Song!! (as listed in the Backkom Specials entry).
animeRelated	['Super Backkom']
animeCharacters	['Bear, Bernard']
animeVoices	[]
animeStaff	[]
