animeTitle	Double Hard
animeType	ONA
animeNumEpisode	26
releaseDate	2013-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13018
animeDescription	"Unbeatable Fist-Fighter Daiki Hayami and Professional Knuckler Jin Takayama ram into the incredible fight against Shibaura's craziest bike gang Midnight King and its head Shinjo Brothers!!

Unfair and underhanded Midnight King takes one of Daiki's classmates Mai as its hostage. That makes Daiki and Jin's anger get to the high peak!!

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	['Hayami, Daiki']
animeVoices	[]
animeStaff	[]
