animeTitle	Sore Ike! Anpanman: Minami no Umi wo Sukue!
animeType	Special
animeNumEpisode	1
releaseDate	1990-08-26 00:00:00
endDate	
animeNumMembers	264
animeScore	
animeUsers	
animeRank	13490
animePopularity	15006
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Currypanman', 'Cheese', 'Dokin-chan', 'Oji-san, Jam', 'Shokupanman', 'Batako-san', 'Uzumakiman', 'Nura']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yanagisawa, Michiyo', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Shimamoto, Sumi', 'Sakuma, Rei', 'Kitamura, Kouichi', 'Genda, Tesshou']
animeStaff	[['Nagaoka, Akinori', 'Director'], ['Ootani, Kazuo', 'Theme Song Arrangement'], ['Maeda, Minoru', 'Character Design, Chief Animation Director'], ['Yanase, Takashi', 'Original Creator']]
