animeTitle	KY-kei JC Kuuki-chan
animeType	ONA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	301
animeRank	
animePopularity	12063
animeDescription	"On the first day as a transfer student, Betao comes to meet one girl. Her name is... Kuuki Yominashi! (Her initials ""KY"" mean ""being unable to read the situation/mood."") When Betao with glasses and Kuuki with skippers meet with each other, the gears of fate starts to spin.

The contemporary story, intersecting lives; a story of duty, human nature and friendship.

Let's begin the story of a KY-style high school girl Kuuki-chan!

(Source: AnimeBancho)"
animeRelated	[]
animeCharacters	['Yominashi, Kuuki', 'Jouseki, Betao', 'Teacher', 'Aburana, Mosako', 'Marui, Osage']
animeVoices	['Murakawa, Rie', 'Matsumoto, Megumi', 'Sonozaki, Mie', 'Tanaka, Ryouko']
animeStaff	[['Ootsuka, Masahiko', 'Producer'], ['Geso, Ikuo', 'Director, Character Design, Animation Director'], ['Tatemoto, Itsuki', 'Script']]
