animeTitle	Z/X: Code Reunion
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.74
animeUsers	2304
animeRank	
animePopularity	4991
animeDescription	"The signing of a peace treaty has secured a tenuous ceasefire between mankind and the Zex, beings who emerged from space/time rifts connected to mysterious, distant worlds. Partnered with a Zex named Rigel, Azumi Kakamigahara must shoulder the fate of her own idyllic world. The unlikely pair head to newly established Fujimisaki Academy, where their destinies await.

(Source: ANN)"
animeRelated	['Z/X: Code Reunion', 'Z/X: Ignition']
animeCharacters	['Kagamihara, Azumi', 'Rigel', 'Shinonome, Matoi', 'Kijino, Shuri', 'Tsukigata, Yuni', 'Soranokawa, Ena']
animeVoices	[]
animeStaff	[['Kasai, Yoshinobu', 'Episode Director'], ['Takahashi, Takeo', 'Storyboard'], ['Ogura, Yui', 'Theme Song Performance']]
