animeTitle	Majokko Tickle
animeType	TV
animeNumEpisode	45
releaseDate	1978-03-06 00:00:00
endDate	1979-01-29 00:00:00
animeNumMembers	
animeScore	6.22
animeUsers	220
animeRank	
animePopularity	10958
animeDescription	"On Chiiko's 11th birthday, her father gives her a special book. Inside the book is a trapped witch, Majokko Tickle. When Chiiko frees Tickle from the book, she uses her magic to pass off as Chiiko's twin sister.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Komori, Chiiko', 'Komori, Tickle', 'Ako', 'Yano, Satomi', 'Hanamura-sensei', 'Fuuko', 'Hoshino, Rumi', 'Keiko', 'Vice Principal', 'Akira']
animeVoices	['Ichiryuusai, Harumi', 'Yoshida, Rihoko', 'Tanonaka, Isamu', 'Kitahama, Haruko', 'Sugiyama, Kazuko', 'Yamamoto, Keiko', 'Han, Keiko', 'Yanami, Jouji', 'Furuya, Toru']
animeStaff	[['Yuyama, Kunihiko', 'Script, Storyboard'], ['Takagaki, Kouzou', 'Script'], ['Iuchi, Shuji', 'Storyboard'], ['Nagai, Go', 'Theme Song Lyrics, Original Creator']]
